1.47431786 13.03634269 0.09094066021342262
0.000 -0.08507192 -0.00458594
0.001 -0.08507201 -0.00458594
0.002 -0.08507227 -0.00458594
0.003 -0.08507253 -0.00458594
0.004 -0.08507282 -0.00458596
0.005 -0.08507323 -0.00458597
0.006 -0.08507376 -0.00458599
0.007 -0.08507440 -0.00458600
0.008 -0.08507514 -0.00458602
0.009 -0.08507599 -0.00458605
0.010 -0.08507694 -0.00458607
0.011 -0.08507799 -0.00458610
0.012 -0.08507914 -0.00458613
0.013 -0.08508039 -0.00458617
0.014 -0.08508174 -0.00458620
0.015 -0.08508319 -0.00458624
0.016 -0.08508474 -0.00458628
0.017 -0.08508639 -0.00458633
0.018 -0.08508814 -0.00458638
0.019 -0.08508998 -0.00458642
0.020 -0.08509193 -0.00458648
0.021 -0.08509398 -0.00458653
0.022 -0.08509612 -0.00458659
0.023 -0.08509837 -0.00458665
0.024 -0.08510071 -0.00458671
0.025 -0.08510315 -0.00458678
0.026 -0.08510569 -0.00458685
0.027 -0.08510833 -0.00458692
0.028 -0.08511107 -0.00458699
0.029 -0.08511390 -0.00458707
0.030 -0.08511683 -0.00458715
0.031 -0.08511986 -0.00458723
0.032 -0.08512299 -0.00458732
0.033 -0.08512622 -0.00458740
0.034 -0.08512954 -0.00458749
0.035 -0.08513296 -0.00458759
0.036 -0.08513648 -0.00458768
0.037 -0.08514009 -0.00458778
0.038 -0.08514380 -0.00458788
0.039 -0.08514761 -0.00458798
0.040 -0.08515151 -0.00458809
0.041 -0.08515551 -0.00458820
0.042 -0.08515960 -0.00458831
0.043 -0.08516379 -0.00458842
0.044 -0.08516808 -0.00458854
0.045 -0.08517246 -0.00458866
0.046 -0.08517693 -0.00458878
0.047 -0.08518150 -0.00458890
0.048 -0.08518616 -0.00458903
0.049 -0.08519092 -0.00458916
0.050 -0.08519577 -0.00458929
0.051 -0.08520071 -0.00458942
0.052 -0.08520575 -0.00458956
0.053 -0.08521088 -0.00458970
0.054 -0.08521610 -0.00458984
0.055 -0.08522142 -0.00458999
0.056 -0.08522682 -0.00459013
0.057 -0.08523232 -0.00459028
0.058 -0.08523791 -0.00459043
0.059 -0.08524359 -0.00459059
0.060 -0.08524937 -0.00459075
0.061 -0.08525523 -0.00459091
0.062 -0.08526118 -0.00459107
0.063 -0.08526722 -0.00459123
