0.120 0.00093632 -0.05065157 1.02381991
0.121 0.00095186 -0.05064342 1.02381156
0.122 0.00096751 -0.05063519 1.02380314
0.123 0.00098330 -0.05062690 1.02379465
0.124 0.00099920 -0.05061855 1.02378610
0.125 0.00101523 -0.05061013 1.02377747
0.126 0.00103139 -0.05060164 1.02376878
0.127 0.00104766 -0.05059308 1.02376002
0.128 0.00106406 -0.05058446 1.02375120
0.129 0.00108059 -0.05057577 1.02374230
0.130 0.00109724 -0.05056702 1.02373334
0.131 0.00111401 -0.05055820 1.02372431
0.132 0.00113090 -0.05054931 1.02371522
0.133 0.00114792 -0.05054036 1.02370605
0.134 0.00116506 -0.05053134 1.02369682
0.135 0.00118233 -0.05052226 1.02368752
0.136 0.00119971 -0.05051310 1.02367815
0.137 0.00121722 -0.05050389 1.02366872
0.138 0.00123485 -0.05049461 1.02365921
0.139 0.00125261 -0.05048526 1.02364964
0.140 0.00127048 -0.05047584 1.02364001
0.141 0.00128848 -0.05046636 1.02363030
0.142 0.00130660 -0.05045682 1.02362053
0.143 0.00132484 -0.05044720 1.02361069
0.144 0.00134320 -0.05043753 1.02360078
0.145 0.00136169 -0.05042778 1.02359081
0.146 0.00138029 -0.05041797 1.02358077
0.147 0.00139902 -0.05040810 1.02357066
0.148 0.00141787 -0.05039816 1.02356049
0.149 0.00143684 -0.05038815 1.02355025
0.150 0.00145593 -0.05037808 1.02353994
0.151 0.00147514 -0.05036794 1.02352956
0.152 0.00149447 -0.05035774 1.02351912
0.153 0.00151392 -0.05034747 1.02350861
0.154 0.00153349 -0.05033714 1.02349803
0.155 0.00155319 -0.05032674 1.02348739
0.156 0.00157300 -0.05031627 1.02347668
0.157 0.00159293 -0.05030574 1.02346590
0.158 0.00161298 -0.05029515 1.02345506
0.159 0.00163315 -0.05028449 1.02344415
0.160 0.00165344 -0.05027376 1.02343317
0.161 0.00167385 -0.05026297 1.02342213
0.162 0.00169438 -0.05025212 1.02341102
0.163 0.00171503 -0.05024120 1.02339984
0.164 0.00173580 -0.05023021 1.02338860
0.165 0.00175668 -0.05021916 1.02337729
0.166 0.00177769 -0.05020804 1.02336591
0.167 0.00179881 -0.05019686 1.02335447
0.168 0.00182005 -0.05018562 1.02334296
0.169 0.00184141 -0.05017431 1.02333139
0.170 0.00186288 -0.05016293 1.02331975
0.171 0.00188448 -0.05015149 1.02330804
